NASDAQ,WILC,G Willi-Food International  Ltd,WILC - G Willi-Food International  Ltd
NASDAQ,GAIA,Gaiam Inc,GAIA - Gaiam Inc
NASDAQ,GALT,Galectin Therapeutics Inc,GALT - Galectin Therapeutics Inc
NASDAQ,GALTU,Galectin Therapeutics Inc,GALTU - Galectin Therapeutics Inc
NASDAQ,GALTW,Galectin Therapeutics Inc,GALTW - Galectin Therapeutics Inc
NASDAQ,GALE,Galena Biopharma Inc,GALE - Galena Biopharma Inc
NASDAQ,GPIC,Gaming Partners International Corporation,GPIC - Gaming Partners International Corporation
NASDAQ,GRMN,Garmin Ltd,GRMN - Garmin Ltd
NASDAQ,GCTS,GCT Semiconductor Inc,GCTS - GCT Semiconductor Inc
NASDAQ,GKNT,Geeknet Inc,GKNT - Geeknet Inc
NASDAQ,GENC,Gencor Industries Inc,GENC - Gencor Industries Inc
NASDAQ,GNCMA,General Communication Inc,GNCMA - General Communication Inc
NASDAQ,GFN,General Finance Corporation,GFN - General Finance Corporation
NASDAQ,GFNCL,General Finance Corporation,GFNCL - General Finance Corporation
NASDAQ,GFNCZ,General Finance Corporation,GFNCZ - General Finance Corporation
NASDAQ,GENE,Genetic Technologies Ltd,GENE - Genetic Technologies Ltd
NASDAQ,GNMK,GenMark Diagnostics Inc,GNMK - GenMark Diagnostics Inc
NASDAQ,GHDX,Genomic Health Inc,GHDX - Genomic Health Inc
NASDAQ,GPRO,Gen-Probe Incorporated,GPRO - Gen-Probe Incorporated
NASDAQ,GNTX,Gentex Corporation,GNTX - Gentex Corporation
NASDAQ,GENT,Gentium SpA,GENT - Gentium SpA
NASDAQ,GTIV,Gentiva Health Services Inc,GTIV - Gentiva Health Services Inc
NASDAQ,GNVC,GenVec Inc,GNVC - GenVec Inc
NASDAQ,GEOY,GeoEye Inc,GEOY - GeoEye Inc
NASDAQ,GMET,GeoMet Inc,GMET - GeoMet Inc
NASDAQ,GMETP,GeoMet Inc,GMETP - GeoMet Inc
NASDAQ,GEOI,GeoResources Inc,GEOI - GeoResources Inc
NASDAQ,GABC,German American Bancorp Inc,GABC - German American Bancorp Inc
NASDAQ,GERN,Geron Corporation,GERN - Geron Corporation
NASDAQ,GEVO,Gevo Inc,GEVO - Gevo Inc
NASDAQ,ROCK,Gibraltar Industries Inc,ROCK - Gibraltar Industries Inc
NASDAQ,GIGM,GigaMedia Limited,GIGM - GigaMedia Limited
NASDAQ,GIGA,Giga-tronics Incorporated,GIGA - Giga-tronics Incorporated
NASDAQ,GIII,G-III Apparel Group LTD,GIII - G-III Apparel Group LTD
NASDAQ,GILT,Gilat Satellite Networks Ltd,GILT - Gilat Satellite Networks Ltd
NASDAQ,GILD,Gilead Sciences Inc,GILD - Gilead Sciences Inc
NASDAQ,GIVN,Given Imaging Ltd,GIVN - Given Imaging Ltd
NASDAQ,GBCI,Glacier Bancorp Inc,GBCI - Glacier Bancorp Inc
NASDAQ,GLAD,Gladstone Capital Corporation,GLAD - Gladstone Capital Corporation
NASDAQ,GOOD,Gladstone Commercial Corporation,GOOD - Gladstone Commercial Corporation
NASDAQ,GOODN,Gladstone Commercial Corporation,GOODN - Gladstone Commercial Corporation
NASDAQ,GOODO,Gladstone Commercial Corporation,GOODO - Gladstone Commercial Corporation
NASDAQ,GOODP,Gladstone Commercial Corporation,GOODP - Gladstone Commercial Corporation
NASDAQ,GAIN,Gladstone Investment Corporation,GAIN - Gladstone Investment Corporation
NASDAQ,GAINP,Gladstone Investment Corporation,GAINP - Gladstone Investment Corporation
NASDAQ,GLCH,Gleacher and Company Inc,GLCH - Gleacher and Company Inc
NASDAQ,GLBZ,Glen Burnie Bancorp,GLBZ - Glen Burnie Bancorp
NASDAQ,GLGL,GLG Life Tech Corp,GLGL - GLG Life Tech Corp
NASDAQ,EAGL,Global Eagle Acquisition Corp,EAGL - Global Eagle Acquisition Corp
NASDAQ,EAGLU,Global Eagle Acquisition Corp,EAGLU - Global Eagle Acquisition Corp
